rank,name,industry,exchange,code,rate,market_cap
1,Apple,資訊硬體, - Apple Inc. (NASDAQ),USD,1.0,90326900000000
2,Amazon.com,電商," - Amazon.com, Inc. (NASDAQ)",USD,1.0,80494300000000
3,Alphabet,網路服務, - Alphabet Inc Class A (NASDAQ),USD,1.0,77289600000000
4,Microsoft,軟體, - Microsoft Corporation (NASDAQ),USD,1.0,74926700000000
5,Facebook,網路服務," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,56136600000000
6,Tencent Holdings,網路服務, - 騰訊 (HKG),HKD,0.1275,47685000000000
7,Alibaba,電商, - Alibaba Group Holding Ltd (NYSE),USD,1.0,46669600000000
8,Samsung Electronics,半導體, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,30002400000000
9,AT&T,電信, - AT&T Inc. (NYSE),USD,1.0,23129200000000
10,Intel,半導體, - Intel Corporation (NASDAQ),USD,1.0,22934400000000
11,Verizon Communications,電信, - Verizon Communications Inc. (NYSE),USD,1.0,20154100000000
12,Cisco Systems,通訊設備," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,19949000000000
13,Taiwan Semiconductor,半導體, - 台灣積體電路製造 (TPE),TWD,0.0327972,18399229200000
14,China Mobile,電信, - 中國移動 (HKG),HKD,0.1275,18232500000000
15,Oracle,軟體, - Oracle Corporation (NYSE),USD,1.0,17826700000000
16,Netflix,網路服務," - Netflix, Inc. (NASDAQ)",USD,1.0,16798700000000
17,SAP,軟體, - SAP SE (ETR),EUR,1.1658,14560492260000
18,NVIDIA,半導體, - NVIDIA Corporation (NASDAQ),USD,1.0,14073000000000
19,International Business Machines,資訊服務, - IBM Common Stock (NYSE),USD,1.0,12589600000000
20,General Electric,工業, - General Electric Company (NYSE),USD,1.0,11931900000000
21,Adobe Systems,軟體, - Adobe Systems Incorporated (NASDAQ),USD,1.0,11900300000000
22,3M,材料, - 3M Co (NYSE),USD,1.0,11616500000000
23,Siemens,工業, - Siemens AG (ETR),EUR,1.1658,11407119840000
24,Texas Instruments,半導體, - Texas Instruments Incorporated (NASDAQ),USD,1.0,10760900000000
25,Honeywell International,工業, - Honeywell International Inc. (NYSE),USD,1.0,10760300000000
26,Broadcom,半導體, - Broadcom Inc (NASDAQ),USD,1.0,10571900000000
27,Tata Consultancy Services,資訊服務, - Tata Consultancy Services Limited (NSE),INR,0.0146,10307600000000
28,Booking Holdings,網路服務, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000
29,Accenture,資訊服務, - Accenture Plc (NYSE),USD,1.0,9934500000000
30,Salesforce.com,網路服務," - salesforce.com, inc. (NYSE)",USD,1.0,9869600000000
