rank,name,industry,exchange,code,rate,market_cap
1,Apple,資訊硬體, - Apple Inc. (NASDAQ),USD,1.0,91552400000000
2,Amazon.com,電商," - Amazon.com, Inc. (NASDAQ)",USD,1.0,82915100000000
3,Alphabet,網路服務, - Alphabet Inc Class A (NASDAQ),USD,1.0,78057100000000
4,Microsoft,軟體, - Microsoft Corporation (NASDAQ),USD,1.0,77238700000000
5,Facebook,網路服務," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,56898600000000
6,Alibaba,電商, - Alibaba Group Holding Ltd (NYSE),USD,1.0,48388300000000
7,Tencent Holdings,網路服務, - 騰訊 (HKG),HKD,0.1274,46755800000000
8,Samsung Electronics,半導體, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,28884600000000
9,AT&T,電信, - AT&T Inc. (NYSE),USD,1.0,23978100000000
10,Intel,半導體, - Intel Corporation (NASDAQ),USD,1.0,23202900000000
11,Verizon Communications,電信, - Verizon Communications Inc. (NYSE),USD,1.0,21034500000000
12,Cisco Systems,通訊設備," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20196900000000
13,Taiwan Semiconductor,半導體, - 台灣積體電路製造 (TPE),TWD,0.03277951,18454864130000
14,China Mobile,電信, - 中國移動 (HKG),HKD,0.1274,18218200000000
15,Oracle,軟體, - Oracle Corporation (NYSE),USD,1.0,18082100000000
16,Netflix,網路服務," - Netflix, Inc. (NASDAQ)",USD,1.0,17306900000000
17,NVIDIA,半導體, - NVIDIA Corporation (NASDAQ),USD,1.0,14603600000000
18,SAP,軟體, - SAP SE (ETR),EUR,1.1724,14127302760000
19,International Business Machines,資訊服務, - IBM Common Stock (NYSE),USD,1.0,12931700000000
20,Adobe Systems,軟體, - Adobe Systems Incorporated (NASDAQ),USD,1.0,12104700000000
21,General Electric,工業, - General Electric Company (NYSE),USD,1.0,11854400000000
22,3M,材料, - 3M Co (NYSE),USD,1.0,11652800000000
23,Siemens,工業, - Siemens AG (ETR),EUR,1.1724,11422224240000
24,Honeywell International,工業, - Honeywell International Inc. (NYSE),USD,1.0,10924600000000
25,Texas Instruments,半導體, - Texas Instruments Incorporated (NASDAQ),USD,1.0,10770400000000
26,Broadcom,半導體, - Broadcom Inc (NASDAQ),USD,1.0,10593400000000
