name,market_cap,place,symbol,rate,market_cap_format,market_cap_USD
Apple,9326.47億, - Apple Inc. (NASDAQ),USD,1.0,93264700000000,93264700000000
Alphabet,7536.91億, - Alphabet Inc Class A (NASDAQ),USD,1.0,75369100000000,75369100000000
Microsoft,7724.55億, - Microsoft Corporation (NASDAQ),USD,1.0,77245500000000,77245500000000
Amazon.com,7918.14億," - Amazon.com, Inc. (NASDAQ)",USD,1.0,79181400000000,79181400000000
Facebook,5415.96億," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,54159600000000,54159600000000
Tencent Holdings,3.84兆, - 騰訊 (HKG),HKD,0.1275,384000000000000,48960000000000
Alibaba,5101.82億, - Alibaba Group Holding Ltd (NYSE),USD,1.0,51018200000000,51018200000000
General Electric,1270.66億, - General Electric Company (NYSE),USD,1.0,12706600000000,12706600000000
Samsung Electronics,375.81兆, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,37581000000000000,33822900000000
AT&T,1996.44億, - AT&T Inc. (NYSE),USD,1.0,19964400000000,19964400000000
China Mobile,1.48兆, - 中國移動 (HKG),HKD,0.1275,148000000000000,18870000000000
Verizon Communications,2004.80億, - Verizon Communications Inc. (NYSE),USD,1.0,20048000000000,20048000000000
Oracle,1918.69億, - Oracle Corporation (NYSE),USD,1.0,19186900000000,19186900000000
Intel,2580.68億, - Intel Corporation (NASDAQ),USD,1.0,25806800000000,25806800000000
Cisco Systems,2089.33億," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20893300000000,20893300000000
IBM,1318.57億, - IBM Common Stock (NYSE),USD,1.0,13185700000000,13185700000000
Taiwan Semiconductor,5.93兆, - 台灣積體電路製造 (TPE),TWD,,593000000000000,
SAP,1201.85億, - SAP SE (ETR),EUR,1.1675,12018500000000,14031598750000
3M,1181.63億, - 3M Co (NYSE),USD,1.0,11816300000000,11816300000000
Siemens,982.09億, - Siemens AG (ETR),EUR,1.1675,9820900000000,11465900750000
Honeywell International,1125.32億, - Honeywell International Inc. (NYSE),USD,1.0,11253200000000,11253200000000
Nippon Telegraph & Tel,10.77兆, - Nippon Telegraph And Telephone Corp (TYO),JPY,0.0091,1077000000000000,9800700000000
Broadcom,,,,1.1675,,
Booking Holdings,1001.25億, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000,10012500000000
Qualcomm,922.23億," - QUALCOMM, Inc. (NASDAQ)",USD,1.0,9222300000000,9222300000000
Texas Instruments,1096.24億, - Texas Instruments Incorporated (NASDAQ),USD,1.0,10962400000000,10962400000000
Deutsche Telekom,636.61億, - Deutsche Telekom AG (ETR),EUR,1.1675,6366100000000,7432421750000
Softbank,8.68兆, - SoftBank Group Corp (TYO),JPY,0.0091,868000000000000,7898800000000
Accenture,1003.15億, - Accenture Plc (NYSE),USD,1.0,10031500000000,10031500000000
Tata Consultancy Services,6.86兆, - Tata Consultancy Services Limited (NSE),INR,0.0148,686000000000000,10152800000000
KDDI,7.61兆, - KDDI Corp (TYO),JPY,0.0091,761000000000000,6925100000000
Vodafone,520.02億, - Vodafone Group plc (LON),GBP,1.3337,5200200000000,6935506740000
Adobe Systems,1241.49億, - Adobe Systems Incorporated (NASDAQ),USD,1.0,12414900000000,12414900000000
Netflix,1640.05億," - Netflix, Inc. (NASDAQ)",USD,1.0,16400500000000,16400500000000
Baidu,729.24億, - Baidu Inc (ADR) (NASDAQ),USD,1.0,7292400000000,7292400000000
Salesforce.com,938.42億," - salesforce.com, inc. (NYSE)",USD,1.0,9384200000000,9384200000000
NVIDIA,1513.10億, - NVIDIA Corporation (NASDAQ),USD,1.0,15131000000000,15131000000000
ASML Holding,742.77億, - ASML Holding NV (AMS),EUR,1.1675,7427700000000,8671839750000
Telefónica,403.79億, - Telefonica SA (BME),EUR,1.1675,4037900000000,4714248250000
Hon Hai Precision,1.50兆, - 鴻海精密 (TPE),TWD,,150000000000000,
ABB,507.96億, - ABB Ltd. (VTX),CHF,1.0071,5079600000000,5115665160000
Keyence,8.09兆, - KEYENCE CORPORATION (TYO),JPY,0.0091,809000000000000,7361900000000
America Movil,1.04兆, - America Movil SAB de CV (BMV),MXN,0.051,104000000000000,5304000000000
Automatic Data Processing,585.80億, - Automatic Data Processing (NASDAQ),USD,1.0,5858000000000,5858000000000
JD.com,535.82億, - JD.Com Inc(ADR) (NASDAQ),USD,1.0,5358200000000,5358200000000
SingTel,543.76億, - Singapore Telecommunications Limited (SGX),SGD,0.7459,5437600000000,4055905840000
Yahoo!,,,,1.1675,,
Etisalat,,,,1.1675,,
Applied Materials,502.69億," - Applied Materials, Inc. (NASDAQ)",USD,1.0,5026900000000,5026900000000
Schneider Electric,439.35億, - Schneider Electric SE (EPA),EUR,1.1675,4393500000000,5129411250000
RELX Group,338.46億, - Relx PLC (LON),GBP,1.3337,3384600000000,4514041020000
Telstra,341.34億, - Telstra Corporation Ltd (ASX),AUD,0.7569,3413400000000,2583602460000
BCE,488.50億, - BCE Inc. (USA) (TSE),CAD,0.7718,4885000000000,3770243000000
Sony,6.44兆, - Sony Corp (TYO),JPY,0.0091,644000000000000,5860400000000
China Telecom,3026.87億, - 中國電信 (HKG),HKD,0.1275,30268700000000,3859259250000
Orange,397.28億, - Orange SA (EPA),EUR,1.1675,3972800000000,4638244000000
BT Group,208.31億, - BT Group - CLASS A Common Stock (LON),GBP,1.3337,2083100000000,2778230470000
Emerson Electric,456.75億, - Emerson Electric Co. (NYSE),USD,1.0,4567500000000,4567500000000
VMware,550.08億," - VMware, Inc. (NYSE)",USD,1.0,5500800000000,5500800000000
Saudi Telecom,1730.41億, - Saudi Telecom Company SJSC (TADAWUL),SAR,,17304100000000,
Netease,273.56億, - NetEase Inc (ADR) (NASDAQ),USD,1.0,2735600000000,2735600000000
eBay,371.12億, - eBay Inc (NASDAQ),USD,1.0,3711200000000,3711200000000
NXP Semiconductors,422.27億, - NXP Semiconductors NV (NASDAQ),USD,1.0,4222700000000,4222700000000
