rank,name,industry,exchange,code,rate,market_cap
1,Apple,資訊硬體, - Apple Inc. (NASDAQ),USD,1.0,94831800000000
2,Amazon.com,電商," - Amazon.com, Inc. (NASDAQ)",USD,1.0,88018400000000
3,Alphabet,網路服務, - Alphabet Inc Class A (NASDAQ),USD,1.0,82802400000000
4,Microsoft,軟體, - Microsoft Corporation (NASDAQ),USD,1.0,80845900000000
5,Facebook,網路服務," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,60415600000000
6,Alibaba,電商, - Alibaba Group Holding Ltd (NYSE),USD,1.0,48450900000000
7,Tencent Holdings,網路服務, - 騰訊 (HKG),HKD,0.1274,45481800000000
8,Samsung Electronics,半導體, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,30174300000000
9,Intel,半導體, - Intel Corporation (NASDAQ),USD,1.0,24236700000000
10,AT&T,電信, - AT&T Inc. (NYSE),USD,1.0,22944500000000
11,Verizon Communications,電信, - Verizon Communications Inc. (NYSE),USD,1.0,21088300000000
12,Cisco Systems,通訊設備," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20001600000000
13,Oracle,軟體, - Oracle Corporation (NYSE),USD,1.0,19387800000000
14,Taiwan Semiconductor,半導體, - 台灣積體電路製造 (TPE),TWD,0.03261518,18982034760000
15,China Mobile,電信, - 中國移動 (HKG),HKD,0.1274,17836000000000
16,Netflix,網路服務," - Netflix, Inc. (NASDAQ)",USD,1.0,16016400000000
17,NVIDIA,半導體, - NVIDIA Corporation (NASDAQ),USD,1.0,15419200000000
18,SAP,軟體, - SAP SE (ETR),EUR,1.1588,14315815200000
19,International Business Machines,資訊服務, - IBM Common Stock (NYSE),USD,1.0,13602100000000
20,Adobe Systems,軟體, - Adobe Systems Incorporated (NASDAQ),USD,1.0,12546200000000
21,3M,材料, - 3M Co (NYSE),USD,1.0,11961100000000
22,General Electric,工業, - General Electric Company (NYSE),USD,1.0,11872900000000
23,Siemens,工業, - Siemens AG (ETR),EUR,1.1588,11552424840000
24,Accenture,資訊服務, - Accenture Plc (NYSE),USD,1.0,11363000000000
25,Texas Instruments,半導體, - Texas Instruments Incorporated (NASDAQ),USD,1.0,11229100000000
26,Tata Consultancy Services,資訊服務, - Tata Consultancy Services Limited (NSE),INR,0.0145,11034500000000
27,Honeywell International,工業, - Honeywell International Inc. (NYSE),USD,1.0,10971400000000
