rank,lift,name,exchange,code,rate,market_cap
1,+ 0,Lam Research, - Lam Research Corporation (NASDAQ),USD,1.0,2857700000000.0
2,+ 0,BT Group, - BT Group - CLASS A Common Stock (LON),GBP,1.3249,2742145530000.0
3,+ 0,ZTE, - 中興通訊 (SHE),CNY,0.1553,1209181330000.0
4,+ 0,Inventec, - 英業達集團 (TPE),TWD,0.03319231,291143027934.0
5,+ 0,WPG Holdings, - 大聯大投資控股股份有限公司 (TPE),TWD,0.03319231,265332687678.0
6,+ 0,Wistron, - 緯創資通 (TPE),TWD,0.03319231,208474260648.0
7,+ 0,Frontier Communications, - Frontier Communications Corp (NASDAQ),USD,1.0,61700000000.0
8,+ 0,Apple,,,1.0,
9,+ 0,Alphabet,,,1.0,
10,+ 0,Microsoft,,,1.0,
11,+ 0,Amazon.com,,,1.0,
12,+ 0,Facebook,,,1.0,
13,+ 0,Tencent Holdings,,,1.0,
14,+ 0,Alibaba,,,1.0,
15,+ 0,General Electric,,,1.0,
16,+ 0,Samsung Electronics,,,1.0,
17,+ 0,AT&T,,,1.0,
18,+ 0,China Mobile,,,1.0,
19,+ 0,Verizon Communications,,,1.0,
20,+ 0,Oracle,,,1.0,
21,+ 0,Intel,,,1.0,
22,+ 0,Cisco Systems,,,1.0,
23,+ 0,IBM,,,1.0,
24,+ 0,Taiwan Semiconductor,,,1.0,
25,+ 0,SAP,,,1.0,
26,+ 0,3M,,,1.0,
27,+ 0,Siemens,,,1.0,
28,+ 0,Honeywell International,,,1.0,
29,+ 0,Nippon Telegraph & Tel,,,1.0,
30,+ 0,Broadcom,,,1.0,
31,+ 0,Booking Holdings,,,1.0,
32,+ 0,Qualcomm,,,1.0,
33,+ 0,Texas Instruments,,,1.0,
34,+ 0,Deutsche Telekom,,,1.0,
35,+ 0,Softbank,,,1.0,
36,+ 0,Accenture,,,1.0,
37,+ 0,Tata Consultancy Services,,,1.0,
38,+ 0,KDDI,,,1.0,
39,+ 0,Vodafone,,,1.0,
40,+ 0,Adobe Systems,,,1.0,
41,+ 0,Netflix,,,1.0,
42,+ 0,Baidu,,,1.0,
43,+ 0,Salesforce.com,,,1.0,
44,+ 0,NVIDIA,,,1.0,
45,+ 0,ASML Holding,,,1.0,
46,+ 0,Telefónica,,,1.0,
47,+ 0,Hon Hai Precision,,,1.0,
48,+ 0,ABB,,,1.0,
49,+ 0,Keyence,,,1.0,
50,+ 0,America Movil,,,1.0,
51,+ 0,Automatic Data Processing,,,1.0,
52,+ 0,JD.com,,,1.0,
53,+ 0,SingTel,,,1.0,
54,+ 0,Yahoo!,,,1.0,
55,+ 0,Etisalat,,,1.0,
56,+ 0,Applied Materials,,,1.0,
57,+ 0,Schneider Electric,,,1.0,
58,+ 0,RELX Group,,,1.0,
59,+ 0,Telstra,,,1.0,
60,+ 0,BCE,,,1.0,
61,+ 0,Sony,,,1.0,
62,+ 0,China Telecom,,,1.0,
63,+ 0,Orange,,,1.0,
64,+ 0,Emerson Electric,,,1.0,
65,+ 0,VMware,,,1.0,
66,+ 0,Saudi Telecom,,,1.0,
67,+ 0,Netease,,,1.0,
68,+ 0,eBay,,,1.0,
69,+ 0,NXP Semiconductors,,,1.0,
70,+ 0,Infosys,,,1.0,
71,+ 0,Crown Castle International,,,1.0,
72,+ 0,China Unicom,,,1.0,
73,+ 0,SK Hynix,,,1.0,
74,+ 0,Micron Technology,,,1.0,
75,+ 0,Equinix,,,1.0,
76,+ 0,Altice,,,1.0,
77,+ 0,Telkom Indonesia,,,1.0,
78,+ 0,Hewlett Packard Enterprise,,,1.0,
79,+ 0,Nokia,,,1.0,
80,+ 0,Intuit,,,1.0,
81,+ 0,Mitsubishi Electric,,,1.0,
82,+ 0,HP,,,1.0,
83,+ 0,Analog Devices,,,1.0,
84,+ 0,Philips,,,1.0,
85,+ 0,Hikvision,,,1.0,
86,+ 0,Murata Manufacturing,,,1.0,
87,+ 0,Nidec,,,1.0,
88,+ 0,Chunghwa Telecom,,,1.0,
89,+ 0,Panasonic,,,1.0,
90,+ 0,TE Connectivity,,,1.0,
91,+ 0,Hitachi,,,1.0,
92,+ 0,Corning,,,1.0,
93,+ 0,Fiserv,,,1.0,
94,+ 0,Western Digital,,,1.0,
95,+ 0,Snap,,,1.0,
96,+ 0,Telenor,,,1.0,
97,+ 0,Vivendi,,,1.0,
98,+ 0,Naver,,,1.0,
99,+ 0,Rogers Communications,,,1.0,
100,+ 0,Infineon Technologies,,,1.0,
101,+ 0,Swisscom,,,1.0,
102,+ 0,Dassault Systemes,,,1.0,
103,+ 0,Amadeus IT Group,,,1.0,
104,+ 0,Amphenol,,,1.0,
105,+ 0,Bharti Airtel,,,1.0,
106,+ 0,Ericsson,,,1.0,
107,+ 0,Level 3 Communications,,,1.0,
108,+ 0,Fortive,,,1.0,
109,+ 0,LARGAN Precision,,,1.0,
110,+ 0,Sharp,,,1.0,
111,+ 0,Kyocera,,,1.0,
112,+ 0,TELUS,,,1.0,
113,+ 0,Wipro,,,1.0,
114,+ 0,Symantec,,,1.0,
115,+ 0,Expedia,,,1.0,
116,+ 0,Skyworks Solutions,,,1.0,
117,+ 0,Autodesk,,,1.0,
118,+ 0,HCL Technologies,,,1.0,
119,+ 0,BOE Technology Group,,,1.0,
120,+ 0,Telecom Italia,,,1.0,
121,+ 0,Hoya,,,1.0,
122,+ 0,Fujifilm Holdings,,,1.0,
123,+ 0,Tokyo Electron,,,1.0,
124,+ 0,Check Point Software,,,1.0,
125,+ 0,Vestas Wind Systems,,,1.0,
126,+ 0,Agilent Technologies,,,1.0,
127,+ 0,Teliasonera,,,1.0,
128,+ 0,Secom,,,1.0,
129,+ 0,MTN Group,,,1.0,
130,+ 0,Workday,,,1.0,
131,+ 0,Renesas Electronics,,,1.0,
132,+ 0,SK Telecom,,,1.0,
133,+ 0,Microchip Technology,,,1.0,
134,+ 0,Legrand,,,1.0,
135,+ 0,Liberty Broadband,,,1.0,
136,+ 0,Capgemini,,,1.0,
137,+ 0,Focus Media Information Technology,,,1.0,
138,+ 0,Rakuten,,,1.0,
139,+ 0,Red Hat,,,1.0,
140,+ 0,KLA-Tencor,,,1.0,
141,+ 0,Advanced Info Service,,,1.0,
142,+ 0,Best Buy,,,1.0,
143,+ 0,SBA Communications,,,1.0,
144,+ 0,AAC Technologies Holdings,,,1.0,
145,+ 0,ServiceNow,,,1.0,
146,+ 0,CGI Group,,,1.0,
147,+ 0,Xilinx,,,1.0,
148,+ 0,Delta Electronics,,,1.0,
149,+ 0,Seagate Technology,,,1.0,
150,+ 0,Harris,,,1.0,
151,+ 0,STMicroelectronics,,,1.0,
152,+ 0,Dell Technologies,,,1.0,
153,+ 0,WW Grainger,,,1.0,
154,+ 0,CenturyLink,,,1.0,
155,+ 0,CA,,,1.0,
156,+ 0,Iliad,,,1.0,
157,+ 0,Citrix Systems,,,1.0,
158,+ 0,Olympus,,,1.0,
159,+ 0,ATOS,,,1.0,
160,+ 0,Taiwan Mobile,,,1.0,
161,+ 0,Advanced Micro Devices,,,1.0,
162,+ 0,Maxim Integrated Products,,,1.0,
163,+ 0,KPN,,,1.0,
164,+ 0,Fujitsu,,,1.0,
165,+ 0,Ametek,,,1.0,
166,+ 0,Mediatek,,,1.0,
167,+ 0,NetApp,,,1.0,
168,+ 0,Maxis,,,1.0,
169,+ 0,Juniper Networks,,,1.0,
170,+ 0,Proximus,,,1.0,
171,+ 0,LG Electronics,,,1.0,
172,+ 0,Axiata Group,,,1.0,
173,+ 0,Akamai Technologies,,,1.0,
174,+ 0,Advanced Semiconductor,,,1.0,
175,+ 0,Garmin,,,1.0,
176,+ 0,Liberty Interactive,,,1.0,
177,+ 0,LG Display,,,1.0,
178,+ 0,Samsung SDS,,,1.0,
179,+ 0,OMRON,,,1.0,
180,+ 0,CDW,,,1.0,
181,+ 0,Ooredoo Telecom,,,1.0,
182,+ 0,Nomura Research Institute,,,1.0,
183,+ 0,Amdocs,,,1.0,
184,+ 0,VeriSign,,,1.0,
185,+ 0,F5 Networks,,,1.0,
186,+ 0,Flextronics International,,,1.0,
187,+ 0,Open Text,,,1.0,
188,+ 0,Samsung SDI,,,1.0,
189,+ 0,Toshiba,,,1.0,
190,+ 0,Quanta Computer,,,1.0,
191,+ 0,Lenovo Group,,,1.0,
192,+ 0,TDK,,,1.0,
193,+ 0,Pegatron,,,1.0,
194,+ 0,Emirates Integrated Telecom,,,1.0,
195,+ 0,Asustek Computer,,,1.0,
196,+ 0,China Railway Signal & Communication,,,1.0,
197,+ 0,KT Corp,,,1.0,
198,+ 0,Turkcell,,,1.0,
199,+ 0,Legend Holding,,,1.0,
200,+ 0,VEON,,,1.0,
201,+ 0,Tsinghua Tongfang,,,1.0,
202,+ 0,TCL Corp,,,1.0,
203,+ 0,Arrow Electronics,,,1.0,
204,+ 0,NEC,,,1.0,
205,+ 0,G4S,,,1.0,
206,+ 0,Avnet,,,1.0,
207,+ 0,LG Uplus,,,1.0,
208,+ 0,Rexel,,,1.0,
209,+ 0,Jabil Circuit,,,1.0,
210,+ 0,Yamada Denki,,,1.0,
211,+ 0,China Great Wall Computer,,,1.0,
212,+ 0,China Communications Services,,,1.0,
213,+ 0,Nanya Technology,,,1.0,
214,+ 0,Konica Minolta Business Solutions,,,1.0,
215,+ 0,Innolux,,,1.0,
216,+ 0,SYNNEX,,,1.0,
217,+ 0,AU Optronics,,,1.0,
218,+ 0,Sistema,,,1.0,
219,+ 0,Tech Data,,,1.0,
220,+ 0,Compal Electronics,,,1.0,
221,+ 0,Synnex Technology Intl,,,1.0,
222,+ 0,Oi,,,1.0,
223,+ 0,Intelsat,,,1.0,
