name,market_cap,place,symbol,rate,market_cap_format,market_cap_USD
Apple,9215.88億, - Apple Inc. (NASDAQ),USD,1.0,92158800000000,92158800000000
Alphabet,7456.27億, - Alphabet Inc Class A (NASDAQ),USD,1.0,74562700000000,74562700000000
Microsoft,7602.52億, - Microsoft Corporation (NASDAQ),USD,1.0,76025200000000,76025200000000
Amazon.com,7884.40億," - Amazon.com, Inc. (NASDAQ)",USD,1.0,78844000000000,78844000000000
Facebook,5432.35億," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,54323500000000,54323500000000
Tencent Holdings,3.77兆, - 騰訊 (HKG),HKD,0.1274,377000000000000,48029800000000
Alibaba,5070.57億, - Alibaba Group Holding Ltd (NYSE),USD,1.0,50705700000000,50705700000000
General Electric,,,,1.0,,
Samsung Electronics,358.15兆, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,35815000000000000,32233500000000
AT&T,2000.12億, - AT&T Inc. (NYSE),USD,1.0,20001200000000,20001200000000
China Mobile,1.43兆, - 中國移動 (HKG),HKD,0.1274,143000000000000,18218200000000
Verizon Communications,2008.10億, - Verizon Communications Inc. (NYSE),USD,1.0,20081000000000,20081000000000
Oracle,1920.73億, - Oracle Corporation (NYSE),USD,1.0,19207300000000,19207300000000
Intel,2594.69億, - Intel Corporation (NASDAQ),USD,1.0,25946900000000,25946900000000
Cisco Systems,2015.19億," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20151900000000,20151900000000
IBM,1309.21億, - IBM Common Stock (NYSE),USD,1.0,13092100000000,13092100000000
Taiwan Semiconductor,5.73兆, - 台灣積體電路製造 (TPE),TWD,0.03331866,573000000000000,19091592180000
SAP,1196.13億, - SAP SE (ETR),EUR,1.1632,11961300000000,13913384160000
3M,1179.55億, - 3M Co (NYSE),USD,1.0,11795500000000,11795500000000
Siemens,974.86億, - Siemens AG (ETR),EUR,1.1632,9748600000000,11339571520000
Honeywell International,1123.68億, - Honeywell International Inc. (NYSE),USD,1.0,11236800000000,11236800000000
Nippon Telegraph & Tel,10.67兆, - Nippon Telegraph And Telephone Corp (TYO),JPY,0.0092,1067000000000000,9816400000000
Broadcom,1025.61億, - Broadcom Inc (NASDAQ),USD,1.0,10256100000000,10256100000000
Booking Holdings,1001.25億, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000,10012500000000
Qualcomm,865.70億," - QUALCOMM, Inc. (NASDAQ)",USD,1.0,8657000000000,8657000000000
Texas Instruments,1094.92億, - Texas Instruments Incorporated (NASDAQ),USD,1.0,10949200000000,10949200000000
Deutsche Telekom,638.28億, - Deutsche Telekom AG (ETR),EUR,1.1632,6382800000000,7424472960000
Softbank,8.51兆, - SoftBank Group Corp (TYO),JPY,0.0092,851000000000000,7829200000000
Accenture,1003.41億, - Accenture Plc (NYSE),USD,1.0,10034100000000,10034100000000
Tata Consultancy Services,6.72兆, - Tata Consultancy Services Limited (NSE),INR,0.0148,672000000000000,9945600000000
KDDI,7.59兆, - KDDI Corp (TYO),JPY,0.0092,759000000000000,6982800000000
Vodafone,515.87億, - Vodafone Group plc (LON),GBP,1.3294,5158700000000,6857975780000
Adobe Systems,1218.37億, - Adobe Systems Incorporated (NASDAQ),USD,1.0,12183700000000,12183700000000
Netflix,1536.81億," - Netflix, Inc. (NASDAQ)",USD,1.0,15368100000000,15368100000000
Baidu,841.26億, - Baidu Inc (ADR) (NASDAQ),USD,1.0,8412600000000,8412600000000
Salesforce.com,948.25億," - salesforce.com, inc. (NYSE)",USD,1.0,9482500000000,9482500000000
NVIDIA,1535.74億, - NVIDIA Corporation (NASDAQ),USD,1.0,15357400000000,15357400000000
ASML Holding,737.34億, - ASML Holding NV (AMS),EUR,1.1632,7373400000000,8576738880000
Telefónica,402.96億, - Telefonica SA (BME),EUR,1.1632,4029600000000,4687230720000
Hon Hai Precision,1.51兆, - 鴻海精密 (TPE),TWD,0.03331866,151000000000000,5031117660000
ABB,493.58億, - ABB Ltd. (VTX),CHF,1.0103,4935800000000,4986638740000
Keyence,8.09兆, - KEYENCE CORPORATION (TYO),JPY,0.0092,809000000000000,7442800000000
America Movil,1.02兆, - America Movil SAB de CV (BMV),MXN,0.0508,102000000000000,5181600000000
Automatic Data Processing,575.45億, - Automatic Data Processing (NASDAQ),USD,1.0,5754500000000,5754500000000
JD.com,509.78億, - JD.Com Inc(ADR) (NASDAQ),USD,1.0,5097800000000,5097800000000
SingTel,539.26億, - Singapore Telecommunications Limited (SGX),SGD,0.7462,5392600000000,4023958120000
Yahoo!,,,,1.0,,
Etisalat,,,,1.0,,
Applied Materials,542.05億," - Applied Materials, Inc. (NASDAQ)",USD,1.0,5420500000000,5420500000000
Schneider Electric,425.04億, - Schneider Electric SE (EPA),EUR,1.1632,4250400000000,4944065280000
RELX Group,337.40億, - Relx PLC (LON),GBP,1.3294,3374000000000,4485395600000
Telstra,333.61億, - Telstra Corporation Ltd (ASX),AUD,0.7549,3336100000000,2518421890000
BCE,488.50億, - BCE Inc. (USA) (TSE),CAD,0.7707,4885000000000,3764869500000
Sony,6.46兆, - Sony Corp (TYO),JPY,0.0092,646000000000000,5943200000000
China Telecom,2929.75億, - 中國電信 (HKG),HKD,0.1274,29297500000000,3732501500000
Orange,394.07億, - Orange SA (EPA),EUR,1.1632,3940700000000,4583822240000
BT Group,203.24億, - BT Group - CLASS A Common Stock (LON),GBP,1.3294,2032400000000,2701872560000
Emerson Electric,451.46億, - Emerson Electric Co. (NYSE),USD,1.0,4514600000000,4514600000000
VMware,556.41億," - VMware, Inc. (NYSE)",USD,1.0,5564100000000,5564100000000
Saudi Telecom,1745.98億, - Saudi Telecom Company SJSC (TADAWUL),SAR,0.26664907,17459800000000,4655639432386
Netease,298.13億, - NetEase Inc (ADR) (NASDAQ),USD,1.0,2981300000000,2981300000000
eBay,376.22億, - eBay Inc (NASDAQ),USD,1.0,3762200000000,3762200000000
NXP Semiconductors,399.91億, - NXP Semiconductors NV (NASDAQ),USD,1.0,3999100000000,3999100000000
Infosys,2.62兆, - Infosys Ltd (NSE),INR,0.0148,262000000000000,3877600000000
Crown Castle International,429.18億, - CROWN CASTLE In/SH SH (NYSE),USD,1.0,4291800000000,4291800000000
China Unicom,3274.00億, - 中國聯通 (HKG),HKD,0.1274,32740000000000,4171076000000
SK Hynix,68.36兆, - SK Hynix Inc (KRX),KRW,0.0009,6836000000000000,6152400000000
Micron Technology,725.66億," - Micron Technology, Inc. (NASDAQ)",USD,1.0,7256600000000,7256600000000
Equinix,314.73億, - Equinix Inc (NASDAQ),USD,1.0,3147300000000,3147300000000
Altice,53.25億, - Altice NV Class A (AMS),EUR,1.1632,532500000000,619404000000
Telkom Indonesia,,,,1.0,,
Hewlett Packard Enterprise,241.83億, - Hewlett Packard Enterprise Co (NYSE),USD,1.0,2418300000000,2418300000000
Nokia,290.47億, - Nokia Oyj (HEL),EUR,1.1632,2904700000000,3378747040000
Intuit,515.04億, - Intuit Inc. (NASDAQ),USD,1.0,5150400000000,5150400000000
Mitsubishi Electric,3.31兆, - Mitsubishi Electric Corporation (TYO),JPY,0.0092,331000000000000,3045200000000
HP,363.73億, - HP Inc (NYSE),USD,1.0,3637300000000,3637300000000
Analog Devices,351.24億," - Analog Devices, Inc. (NASDAQ)",USD,1.0,3512400000000,3512400000000
Philips,340.40億, - Koninklijke Philips NV (AMS),EUR,1.1632,3404000000000,3959532800000
Hikvision,3637.39億, - 海康威視 (SHE),CNY,0.1558,36373900000000,5667053620000
Murata Manufacturing,3.66兆," - Murata Manufacturing Co., Ltd. (TYO)",JPY,0.0092,366000000000000,3367200000000
Nidec,5.03兆, - NIDEC CORPORATION (TYO),JPY,0.0092,503000000000000,4627600000000
Chunghwa Telecom,8533.19億, - 中華電信 (TPE),TWD,0.03331866,85331900000000,2843144563254
Panasonic,3.64兆, - Panasonic Corporation (TYO),JPY,0.0092,364000000000000,3348800000000
TE Connectivity,328.96億, - TE Connectivity Ltd (NYSE),USD,1.0,3289600000000,3289600000000
Hitachi,3.83兆," - Hitachi, Ltd. (TYO)",JPY,0.0092,383000000000000,3523600000000
Corning,218.80億, - Corning Incorporated (NYSE),USD,1.0,2188000000000,2188000000000
Fiserv,297.87億, - Fiserv Inc (NASDAQ),USD,1.0,2978700000000,2978700000000
Western Digital,257.48億, - Western Digital Corp (NASDAQ),USD,1.0,2574800000000,2574800000000
Snap,138.02億, - Snap Inc (NYSE),USD,1.0,1380200000000,1380200000000
Telenor,"53,187", - Telenor ASA (SWX),CHF,1.0103,,
Vivendi,281.08億, - Vivendi SA (EPA),EUR,1.1632,2810800000000,3269522560000
Naver,22.05兆, - Naver Corp (KRX),KRW,0.0009,2205000000000000,1984500000000
Rogers Communications,"972,489", - Rogers Communications Inc. (USA) Class B (TSE),CAD,0.7707,,
