rank,name,industry,exchange,code,rate,market_cap
1,Apple,資訊硬體, - Apple Inc. (NASDAQ),USD,1.0,94565100000000
2,Alphabet,網路服務, - Alphabet Inc Class A (NASDAQ),USD,1.0,87685400000000
3,Amazon.com,電商," - Amazon.com, Inc. (NASDAQ)",USD,1.0,86111100000000
4,Microsoft,軟體, - Microsoft Corporation (NASDAQ),USD,1.0,81814200000000
5,Facebook,網路服務," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,50356900000000
6,Alibaba,電商, - Alibaba Group Holding Ltd (NYSE),USD,1.0,47476700000000
7,Tencent Holdings,網路服務, - 騰訊 (HKG),HKD,0.1274,45099600000000
8,Samsung Electronics,半導體, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,30162600000000
9,Intel,半導體, - Intel Corporation (NASDAQ),USD,1.0,24190700000000
10,AT&T,電信, - AT&T Inc. (NYSE),USD,1.0,23285500000000
11,Verizon Communications,電信, - Verizon Communications Inc. (NYSE),USD,1.0,21396300000000
12,Taiwan Semiconductor,半導體, - 台灣積體電路製造 (TPE),TWD,0.03268973,20725288820000
13,Cisco Systems,通訊設備," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20106400000000
14,Oracle,軟體, - Oracle Corporation (NYSE),USD,1.0,19344600000000
15,China Mobile,電信, - 中國移動 (HKG),HKD,0.1274,18218200000000
16,Netflix,網路服務," - Netflix, Inc. (NASDAQ)",USD,1.0,15569200000000
17,NVIDIA,半導體, - NVIDIA Corporation (NASDAQ),USD,1.0,15274700000000
18,SAP,軟體, - SAP SE (ETR),EUR,1.1716,14537095640000
19,International Business Machines,資訊服務, - IBM Common Stock (NYSE),USD,1.0,13445500000000
20,Adobe Systems,軟體, - Adobe Systems Incorporated (NASDAQ),USD,1.0,12548900000000
21,3M,材料, - 3M Co (NYSE),USD,1.0,12122900000000
22,Siemens,工業, - Siemens AG (ETR),EUR,1.1716,11713305320000
23,Honeywell International,工業, - Honeywell International Inc. (NYSE),USD,1.0,11670000000000
24,General Electric,工業, - General Electric Company (NYSE),USD,1.0,11429900000000
25,Texas Instruments,半導體, - Texas Instruments Incorporated (NASDAQ),USD,1.0,11148000000000
26,Accenture,資訊服務, - Accenture Plc (NYSE),USD,1.0,11005500000000
27,Tata Consultancy Services,資訊服務, - Tata Consultancy Services Limited (NSE),INR,0.0146,10891600000000
28,Salesforce.com,網路服務," - salesforce.com, inc. (NYSE)",USD,1.0,10621400000000
29,Booking Holdings,網路服務, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000
30,Broadcom,半導體, - Broadcom Inc (NASDAQ),USD,1.0,9754700000000
