name,market_cap,place,symbol,rate,market_cap_format,market_cap_USD
Apple,9350.56億, - Apple Inc. (NASDAQ),USD,1.0,93505600000000,93505600000000
Alphabet,7829.08億, - Alphabet Inc Class A (NASDAQ),USD,1.0,78290800000000,78290800000000
Microsoft,7743.90億, - Microsoft Corporation (NASDAQ),USD,1.0,77439000000000,77439000000000
Amazon.com,7965.19億," - Amazon.com, Inc. (NASDAQ)",USD,1.0,79651900000000,79651900000000
Facebook,5615.29億," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,56152900000000,56152900000000
Tencent Holdings,3.91兆, - 騰訊 (HKG),HKD,0.1275,391000000000000,49852500000000
Alibaba,5233.46億, - Alibaba Group Holding Ltd (NYSE),USD,1.0,52334600000000,52334600000000
General Electric,1224.63億, - General Electric Company (NYSE),USD,1.0,12246300000000,12246300000000
Samsung Electronics,382.47兆, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,38247000000000000,34422300000000
AT&T,1993.98億, - AT&T Inc. (NYSE),USD,1.0,19939800000000,19939800000000
China Mobile,1.46兆, - 中國移動 (HKG),HKD,0.1275,146000000000000,18615000000000
Verizon Communications,1975.46億, - Verizon Communications Inc. (NYSE),USD,1.0,19754600000000,19754600000000
Oracle,1932.98億, - Oracle Corporation (NYSE),USD,1.0,19329800000000,19329800000000
Intel,2659.93億, - Intel Corporation (NASDAQ),USD,1.0,26599300000000,26599300000000
Cisco Systems,2053.28億," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20532800000000,20532800000000
IBM,1303.06億, - IBM Common Stock (NYSE),USD,1.0,13030600000000,13030600000000
Taiwan Semiconductor,5.93兆, - 台灣積體電路製造 (TPE),TWD,0.03347937,593000000000000,19853266410000
SAP,1193.76億, - SAP SE (ETR),EUR,1.1669,11937600000000,13929985440000
3M,1184.95億, - 3M Co (NYSE),USD,1.0,11849500000000,11849500000000
Siemens,964.58億, - Siemens AG (ETR),EUR,1.1669,9645800000000,11255684020000
Honeywell International,1121.07億, - Honeywell International Inc. (NYSE),USD,1.0,11210700000000,11210700000000
Nippon Telegraph & Tel,10.57兆, - Nippon Telegraph And Telephone Corp (TYO),JPY,0.0091,1057000000000000,9618700000000
Broadcom,1035.38億, - Broadcom Inc (NASDAQ),USD,1.0,10353800000000,10353800000000
