name,market_cap,place,symbol,rate,market_cap_format,market_cap_USD
Apple,9235.54億, - Apple Inc. (NASDAQ),USD,1.0,92355400000000,92355400000000
Alphabet,7389.32億, - Alphabet Inc Class A (NASDAQ),USD,1.0,73893200000000,73893200000000
Microsoft,7530.30億, - Microsoft Corporation (NASDAQ),USD,1.0,75303000000000,75303000000000
Amazon.com,7826.08億," - Amazon.com, Inc. (NASDAQ)",USD,1.0,78260800000000,78260800000000
Facebook,5376.48億," - Facebook, Inc. Common Stock (NASDAQ)",USD,1.0,53764800000000,53764800000000
Tencent Holdings,3.77兆, - 騰訊 (HKG),HKD,0.1275,377000000000000,48067500000000
Alibaba,5064.98億, - Alibaba Group Holding Ltd (NYSE),USD,1.0,50649800000000,50649800000000
General Electric,1231.58億, - General Electric Company (NYSE),USD,1.0,12315800000000,12315800000000
Samsung Electronics,360.25兆, - Samsung Electronics Co Ltd (KRX),KRW,0.0009,36025000000000000,32422500000000
AT&T,1985.39億, - AT&T Inc. (NYSE),USD,1.0,19853900000000,19853900000000
China Mobile,1.44兆, - 中國移動 (HKG),HKD,0.1275,144000000000000,18360000000000
Verizon Communications,1991.57億, - Verizon Communications Inc. (NYSE),USD,1.0,19915700000000,19915700000000
Oracle,1888.48億, - Oracle Corporation (NYSE),USD,1.0,18884800000000,18884800000000
Intel,2577.91億, - Intel Corporation (NASDAQ),USD,1.0,25779100000000,25779100000000
Cisco Systems,2020.83億," - Cisco Systems, Inc. (NASDAQ)",USD,1.0,20208300000000,20208300000000
IBM,1296.36億, - IBM Common Stock (NYSE),USD,1.0,12963600000000,12963600000000
Taiwan Semiconductor,5.73兆, - 台灣積體電路製造 (TPE),TWD,0.03331217,573000000000000,19087873410000
SAP,1185.55億, - SAP SE (ETR),EUR,1.1558,11855500000000,13702586900000
3M,1162.09億, - 3M Co (NYSE),USD,1.0,11620900000000,11620900000000
Siemens,971.93億, - Siemens AG (ETR),EUR,1.1558,9719300000000,11233566940000
Honeywell International,1106.95億, - Honeywell International Inc. (NYSE),USD,1.0,11069500000000,11069500000000
Nippon Telegraph & Tel,10.79兆, - Nippon Telegraph And Telephone Corp (TYO),JPY,0.0092,1079000000000000,9926800000000
Broadcom,1027.00億, - Broadcom Inc (NASDAQ),USD,1.0,10270000000000,10270000000000
Booking Holdings,1001.25億, - Booking Holdings Inc (NASDAQ),USD,1.0,10012500000000,10012500000000
Qualcomm,863.33億," - QUALCOMM, Inc. (NASDAQ)",USD,1.0,8633300000000,8633300000000
Texas Instruments,1086.01億, - Texas Instruments Incorporated (NASDAQ),USD,1.0,10860100000000,10860100000000
Deutsche Telekom,630.14億, - Deutsche Telekom AG (ETR),EUR,1.1558,6301400000000,7283158120000
Softbank,8.44兆, - SoftBank Group Corp (TYO),JPY,0.0092,844000000000000,7764800000000
Accenture,987.40億, - Accenture Plc (NYSE),USD,1.0,9874000000000,9874000000000
Tata Consultancy Services,6.82兆, - Tata Consultancy Services Limited (NSE),INR,0.0147,682000000000000,10025400000000
KDDI,7.62兆, - KDDI Corp (TYO),JPY,0.0092,762000000000000,7010400000000
Vodafone,519.10億, - Vodafone Group plc (LON),GBP,1.3263,5191000000000,6884823300000
Adobe Systems,1192.71億, - Adobe Systems Incorporated (NASDAQ),USD,1.0,11927100000000,11927100000000
Netflix,1520.25億," - Netflix, Inc. (NASDAQ)",USD,1.0,15202500000000,15202500000000
Baidu,841.71億, - Baidu Inc (ADR) (NASDAQ),USD,1.0,8417100000000,8417100000000
Salesforce.com,930.50億," - salesforce.com, inc. (NYSE)",USD,1.0,9305000000000,9305000000000
NVIDIA,1509.03億, - NVIDIA Corporation (NASDAQ),USD,1.0,15090300000000,15090300000000
ASML Holding,737.99億, - ASML Holding NV (AMS),EUR,1.1558,7379900000000,8529688420000
Telefónica,402.22億, - Telefonica SA (BME),EUR,1.1558,4022200000000,4648858760000
Hon Hai Precision,1.52兆, - 鴻海精密 (TPE),TWD,0.03331217,152000000000000,5063449840000
ABB,497.93億, - ABB Ltd. (VTX),CHF,1.0036,4979300000000,4997225480000
Keyence,8.00兆, - KEYENCE CORPORATION (TYO),JPY,0.0092,800000000000000,7360000000000
America Movil,1.04兆, - America Movil SAB de CV (BMV),MXN,0.0506,104000000000000,5262400000000
Automatic Data Processing,572.37億, - Automatic Data Processing (NASDAQ),USD,1.0,5723700000000,5723700000000
JD.com,519.55億, - JD.Com Inc(ADR) (NASDAQ),USD,1.0,5195500000000,5195500000000
SingTel,540.49億, - Singapore Telecommunications Limited (SGX),SGD,0.7426,5404900000000,4013678740000
Yahoo!,,,,1.0,,
Etisalat,,,,1.0,,
Applied Materials,546.57億," - Applied Materials, Inc. (NASDAQ)",USD,1.0,5465700000000,5465700000000
Schneider Electric,428.51億, - Schneider Electric SE (EPA),EUR,1.1558,4285100000000,4952718580000
RELX Group,336.32億, - Relx PLC (LON),GBP,1.3263,3363200000000,4460612160000
Telstra,330.04億, - Telstra Corporation Ltd (ASX),AUD,0.7522,3300400000000,2482560880000
BCE,488.50億, - BCE Inc. (USA) (TSE),CAD,0.7676,4885000000000,3749725999999
Sony,6.46兆, - Sony Corp (TYO),JPY,0.0092,646000000000000,5943200000000
China Telecom,2994.50億, - 中國電信 (HKG),HKD,0.1275,29945000000000,3817987500000
Orange,393.27億, - Orange SA (EPA),EUR,1.1558,3932700000000,4545414660000
BT Group,204.64億, - BT Group - CLASS A Common Stock (LON),GBP,1.3263,2046400000000,2714140320000
Emerson Electric,445.91億, - Emerson Electric Co. (NYSE),USD,1.0,4459100000000,4459100000000
VMware,549.88億," - VMware, Inc. (NYSE)",USD,1.0,5498800000000,5498800000000
Saudi Telecom,1747.97億, - Saudi Telecom Company SJSC (TADAWUL),SAR,0.26665258,17479700000000,4661007102626
Netease,302.09億, - NetEase Inc (ADR) (NASDAQ),USD,1.0,3020900000000,3020900000000
eBay,373.04億, - eBay Inc (NASDAQ),USD,1.0,3730400000000,3730400000000
NXP Semiconductors,402.33億, - NXP Semiconductors NV (NASDAQ),USD,1.0,4023300000000,4023300000000
Infosys,2.67兆, - Infosys Ltd (NSE),INR,0.0147,267000000000000,3924900000000
Crown Castle International,426.19億, - CROWN CASTLE In/SH SH (NYSE),USD,1.0,4261900000000,4261900000000
China Unicom,3231.16億, - 中國聯通 (HKG),HKD,0.1275,32311600000000,4119729000000
SK Hynix,68.58兆, - SK Hynix Inc (KRX),KRW,0.0009,6858000000000000,6172200000000
Micron Technology,726.24億," - Micron Technology, Inc. (NASDAQ)",USD,1.0,7262400000000,7262400000000
Equinix,308.34億, - Equinix Inc (NASDAQ),USD,1.0,3083400000000,3083400000000
Altice,52.11億, - Altice NV Class A (AMS),EUR,1.1558,521100000000,602287380000
Telkom Indonesia,,,,1.0,,
Hewlett Packard Enterprise,238.88億, - Hewlett Packard Enterprise Co (NYSE),USD,1.0,2388800000000,2388800000000
Nokia,289.56億, - Nokia Oyj (HEL),EUR,1.1558,2895600000000,3346734480000
Intuit,503.77億, - Intuit Inc. (NASDAQ),USD,1.0,5037700000000,5037700000000
Mitsubishi Electric,3.30兆, - Mitsubishi Electric Corporation (TYO),JPY,0.0092,330000000000000,3036000000000
HP,349.61億, - HP Inc (NYSE),USD,1.0,3496100000000,3496100000000
Analog Devices,349.06億," - Analog Devices, Inc. (NASDAQ)",USD,1.0,3490600000000,3490600000000
Philips,340.16億, - Koninklijke Philips NV (AMS),EUR,1.1558,3401600000000,3931569280000
Hikvision,3517.44億, - 海康威視 (SHE),CNY,0.1558,35174400000000,5480171520000
Murata Manufacturing,3.61兆," - Murata Manufacturing Co., Ltd. (TYO)",JPY,0.0092,361000000000000,3321200000000
Nidec,5.00兆, - NIDEC CORPORATION (TYO),JPY,0.0092,500000000000000,4600000000000
Chunghwa Telecom,8455.62億, - 中華電信 (TPE),TWD,0.03331216,84556200000000,2816749663392
Panasonic,3.66兆, - Panasonic Corporation (TYO),JPY,0.0092,366000000000000,3367200000000
TE Connectivity,325.59億, - TE Connectivity Ltd (NYSE),USD,1.0,3255900000000,3255900000000
Hitachi,3.83兆," - Hitachi, Ltd. (TYO)",JPY,0.0092,383000000000000,3523600000000
Corning,222.04億, - Corning Incorporated (NYSE),USD,1.0,2220400000000,2220400000000
Fiserv,293.28億, - Fiserv Inc (NASDAQ),USD,1.0,2932800000000,2932800000000
Western Digital,257.36億, - Western Digital Corp (NASDAQ),USD,1.0,2573600000000,2573600000000
Snap,132.74億, - Snap Inc (NYSE),USD,1.0,1327400000000,1327400000000
Telenor,"53,187", - Telenor ASA (SWX),CHF,1.0036,,
Vivendi,291.70億, - Vivendi SA (EPA),EUR,1.1558,2917000000000,3371468600000
Naver,21.62兆, - Naver Corp (KRX),KRW,0.0009,2162000000000000,1945800000000
